Time of Receipt (s),Time of Transmission (s),Time of Data (s),Day of Year,Year,Packet Type,Number of Data Elements,Packet Source,Unique ID Number,Message Type,Version,NAVSSI Status,INS Status,GPS 1 Status,GPS 2 Status,North RMS Error (ft),East RMS Error (ft),Vertical Position RMS Error (ft),Radial Error Estimate (ft),North Velocity RMS Error (ft/s),East Velocity RMS Error (ft/s), Down Velocity RMS Error (ft/s),Roll RMS Error (degrees),Pitch RMS Error (degrees),Heading RMS Error (degrees),Time of Gyro Reset (s),Latitude (degrees),Longitude (degrees),Vertical Position (ft),Velocity North (kn),Velocity East (kn),Velocity Down (kn),Acceleration North (ft/s^2),Acceleration East (ft/s^2),Acceleration Down (ft/s^2),Integral of Velocity North (ft),Integral of Velocity East (ft),Course (degrees),Speed Through The Water (kn),Calibration for Speed Log (kn),Depth Below Keel (ft),Ocean Current North (kn), Ocean Current East(kn),Roll (degrees),Pitch (degrees),Heading (degrees),Roll Rate (degrees/s),Pitch Rate (degrees/s),Heading Rate (degrees/s),Roll Acceleration (degrees/s^2),Pitch Acceleration (degrees/s^2),Heading Acceleration (degrees/s^2),OSD_Status,Own Ship Distance (NM),Athwartships Speed (kn),Vertical Speed (kn),True Wind Status,True Wind Speed (kn),True Wind Direction (degrees),True Wind Sensor,Apparent Wind Status,Apparent Wind Speed (kn),Apparent Wind Direction (degrees),Apparent Wind Sensor,MV Status,Magnetic Variation (radians),Checksum
1537212146.6864,69746.7013274,69746.7013274,260,2018,2,55,1,9,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0.00002,0,5.2899999619,0.3600000143,0,0,0,0,0,0,3.9300000668,5.3000001907,0,0,0,0,0,0,3.9300000668,0,0,0.1599999964,0,0,0,0,0,0,0,0,0,0,0,0,5.3000001907,0,0,0,0,2627217423
1537212146.6865,69746.7013274,69746.7013274,260,2018,2,55,1,9,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0.00002,0,5.2899999619,0.3600000143,0,0,0,0,0,0,3.9300000668,5.3000001907,0,0,0,0,0,0,3.9300000668,0,0,0.1599999964,0,0,0,0,0,0,0,0,0,0,0,0,5.3000001907,0,0,0,0,2627217423
1537212147.7004,69747.7153291,69747.7153291,260,2018,2,55,1,10,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0.00002,0,5.3800001144,0.3899999857,0,0,0,0,0,0,4.1100001335,5.3899998665,0,0,0,0,0,0,4.1100001335,0,0,0.1599999964,0,0,0,0,0,0,0,0,0,0,0,0,5.3899998665,0,0,0,0,2447408693
1537212147.7005,69747.7153291,69747.7153291,260,2018,2,55,1,10,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0.00002,0,5.3800001144,0.3899999857,0,0,0,0,0,0,4.1100001335,5.3899998665,0,0,0,0,0,0,4.1100001335,0,0,0.1599999964,0,0,0,0,0,0,0,0,0,0,0,0,5.3899998665,0,0,0,0,2447408693
1537212148.6989,69748.7137309,69748.7137309,260,2018,2,55,1,11,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.00003,0,5.4600000381,0.4099999964,0,0,0,0,0,0,4.2899999619,5.4800000191,0,0,0,0,0,0,4.2899999619,0,0,0.1599999964,0,0,0,0,0,0,0,0,0,0,0,0,5.4800000191,0,0,0,0,4121680792
1537212148.6989,69748.7137309,69748.7137309,260,2018,2,55,1,11,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.00003,0,5.4600000381,0.4099999964,0,0,0,0,0,0,4.2899999619,5.4800000191,0,0,0,0,0,0,4.2899999619,0,0,0.1599999964,0,0,0,0,0,0,0,0,0,0,0,0,5.4800000191,0,0,0,0,4121680792
1537212149.6972,69749.7121327,69749.7121327,260,2018,2,55,1,12,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0.00003,0,5.5500001907,0.4300000072,0,0,0,0,0,0,4.4699997902,5.5700001717,0,0,0,0,0,0,4.4699997902,0,0,0.1700000018,0,0,0,0,0,0,0,0,0,0,0,0,5.5700001717,0,0,0,0,2500171654
1537212149.6973,69749.7121327,69749.7121327,260,2018,2,55,1,12,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0.00003,0,5.5500001907,0.4300000072,0,0,0,0,0,0,4.4699997902,5.5700001717,0,0,0,0,0,0,4.4699997902,0,0,0.1700000018,0,0,0,0,0,0,0,0,0,0,0,0,5.5700001717,0,0,0,0,2500171654
1537212150.6957,69750.7105344,69750.7105344,260,2018,2,55,1,13,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0.00003,0,5.6399998665,0.4600000083,0,0,0,0,0,0,4.6500000954,5.6599998474,0,0,0,0,0,0,4.6500000954,0,0,0.1700000018,0,0,0,0,0,0,0,0,0,0,0,0,5.6599998474,0,0,0,0,878313226
1537212150.6957,69750.7105344,69750.7105344,260,2018,2,55,1,13,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0.00003,0,5.6399998665,0.4600000083,0,0,0,0,0,0,4.6500000954,5.6599998474,0,0,0,0,0,0,4.6500000954,0,0,0.1700000018,0,0,0,0,0,0,0,0,0,0,0,0,5.6599998474,0,0,0,0,878313226
